Radicado	Acta Conciliacion	Prefijo Factura	# Factura	CONCATENAR	NOTA CREDITO	Valor Factura	Total Glosas	Valor Aceptado en Conciliacion
865648	AC000862	HUS	480696	HUS480696	309279	$ 190.964	$ 45.411	$ 45.411
865651	AC000862	HUS	480714	HUS480714	309286	$ 190.964	$ 45.411	$ 45.411
865652	AC000862	HUS	480719	HUS480719	309289	$ 190.964	$ 45.411	$ 45.411
865653	AC000862	HUS	480751	HUS480751	309293	$ 190.964	$ 45.411	$ 45.411
865654	AC000862	HUS	480756	HUS480756	309294	$ 190.964	$ 45.411	$ 45.411
865655	AC000862	HUS	480760	HUS480760	309295	$ 190.964	$ 45.411	$ 45.411
865656	AC000862	HUS	481848	HUS481848	309344	$ 114.236	$ 7.473	$ 7.473
865657	AC000862	HUS	481856	HUS481856	309350	$ 114.236	$ 7.473	$ 7.473
866917	AC000862	HUS	480207	HUS480207	309266	$ 87.835	$ 5.747	$ 5.747
866918	AC000862	HUS	480260	HUS480260	309270	$ 87.835	$ 5.747	$ 5.747
866970	AC000862	HUS	481153	HUS481153	309308	$ 114.236	$ 7.474	$ 7.474
866971	AC000862	HUS	481322	HUS481322	309330	$ 114.236	$ 7.474	$ 7.474
866972	AC000862	HUS	481576	HUS481576	309342	$ 87.835	$ 5.747	$ 5.747
868447	AC000862	HUS	480181	HUS480181	309260	$ 114.236	$ 23.606	$ 7.473
868448	AC000862	HUS	481072	HUS481072	309306	$ 187.855	$ 12.290	$ 12.290
